step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.704308955788983,0,0.0,0.9018137781382141,0,0.0
10.0,0,0.0,0.0,12.967114243717317,0,0.0,0.9186226408352707,0,0.0
15.0,3,4.0,0.2222222222222222,7.05919037063774,3,4.0,0.3782376242211637,3,4.0
20.0,8,38.0,2.111111111111111,7.087384949821615,8,38.0,0.37954561859683267,8,38.0
25.0,8,78.0,3.9,6.650094620158659,8,78.0,0.40392447631623346,8,78.0
30.0,10,126.0,6.3,6.429010884218302,10,126.0,0.34760284081625775,10,126.0
35.0,10,176.0,7.333333333333333,6.19755173723884,10,176.0,0.24687039901234495,10,176.0
40.0,7,150.0,5.769230769230769,7.6723838055144,7,150.0,0.48896647521563036,7,150.0
45.0,5,73.0,2.7037037037037037,7.16224688106194,5,126.0,0.46857187868502015,5,126.0
50.0,10,111.0,3.8275862068965516,7.1372691608039505,10,111.0,0.3443279167863904,10,111.0
55.0,13,168.0,5.793103448275862,6.606695998132237,13,168.0,0.2915010169206694,13,168.0
60.0,16,241.0,9.64,4.17752094619041,16,241.0,0.17361297312614324,16,241.0
65.0,21,332.0,12.296296296296296,2.5613745426432035,21,332.0,0.1898363159001353,21,332.0
70.0,21,437.0,16.185185185185187,2.0718343548780345,21,437.0,0.1537391977942849,21,437.0
75.0,26,553.0,14.179487179487179,3.720406158018894,26,553.0,0.2729281841957373,26,553.0
80.0,25,555.0,14.23076923076923,3.583205621800021,25,555.0,0.2672209040811725,25,555.0
85.0,30,690.0,15.333333333333334,3.039277106566077,30,690.0,0.17781866923696876,30,690.0
90.0,28,528.0,11.733333333333333,2.4904153350717033,28,671.0,0.09140977848852586,28,671.0
95.0,25,437.0,9.297872340425531,4.021450029787197,25,654.0,0.16537606662407198,25,654.0
100.0,18,458.0,9.541666666666666,5.4834094274392,18,611.0,0.19880859972395995,18,611.0
105.0,17,541.0,12.022222222222222,6.603334729479083,17,602.0,0.33289106614216274,17,602.0
110.0,19,635.0,13.51063829787234,6.9257953564288774,19,644.0,0.36067674006727823,19,644.0
115.0,19,730.0,17.38095238095238,6.619679514448963,19,730.0,0.3336025289575938,19,730.0
120.0,21,827.0,20.675,5.557498690688056,21,827.0,0.19858877516743578,21,827.0
125.0,16,394.0,10.368421052631579,5.02741258875031,16,622.0,0.26604837108520024,16,622.0
130.0,14,166.0,4.611111111111111,4.021221790743704,14,602.0,0.1907816019514713,14,602.0
135.0,13,111.0,2.8461538461538463,4.701305665984724,13,582.0,0.2311138007017229,13,582.0
140.0,23,208.0,5.621621621621622,4.424681266428433,23,644.0,0.16582244479111635,23,644.0
145.0,25,328.0,8.0,4.278455927439891,25,764.0,0.2028658650474179,25,764.0
150.0,29,469.0,11.166666666666666,3.7429711442932065,29,905.0,0.2681512938949208,29,905.0
155.0,31,620.0,15.121951219512194,2.0073584547916155,31,1056.0,0.13584674853305437,31,1056.0
160.0,37,793.0,16.872340425531913,2.750152569166587,37,1229.0,0.133263324048989,37,1229.0
165.0,37,896.0,19.47826086956522,0.921064043006904,37,1332.0,0.0032984328234298217,37,1332.0
170.0,40,1090.0,21.8,2.3286020932374694,40,1526.0,0.11667151070996798,40,1526.0
175.0,36,1033.0,21.081632653061224,1.231983921580223,36,1630.0,0.022675763734842078,36,1630.0
180.0,31,937.0,17.67924528301887,3.2840695689106045,31,1636.0,0.11373912776141393,31,1636.0
185.0,26,946.0,16.892857142857142,4.926496793174921,26,1574.0,0.19993866940441019,26,1574.0
190.0,24,1054.0,19.163636363636364,5.666050896333224,24,1599.0,0.2809180808854412,24,1599.0
195.0,26,1177.0,22.20754716981132,5.603945590652707,26,1636.0,0.2391474878585095,26,1636.0
200.0,30,1318.0,25.346153846153847,5.168039642835542,30,1756.0,0.19223421617546815,30,1756.0
205.0,30,1468.0,30.583333333333332,4.674111522116912,30,1904.0,0.1494355225183536,30,1904.0
210.0,24,1134.0,23.625,4.0465680053917055,24,1758.0,0.15631060764893956,24,1758.0
215.0,20,495.0,12.073170731707316,3.2137149304779005,20,1610.0,0.15100417422222503,20,1610.0
220.0,12,69.0,1.3269230769230769,4.622876213833494,12,1595.0,0.25617338367061976,12,1595.0
225.0,20,136.0,2.72,4.274425103260917,20,1684.0,0.2302442955837213,20,1684.0
