step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.390175765287633,0,0.0,0.9697327498939989,0,0.0,0.9704570678791576,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9717522692487903,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9769540213262262,0,0.0,0.9737556549061116,0,0.0,0.9728525991214803,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9719658862214355,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.431482186568799,0,0.0,0.9747386285351126,0,0.0,0.974621088805696,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9742540542743761,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9782157237357902,0,0.0,0.9763087494077348,0,0.0,0.9769584008600278,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8924836667225098,0,0.0,1.0,0,0.0
15.0,40,0,3,0,40,0,3.0,0.075,11.317837013390289,1,1.0,0.8143053015484715,0,0.0,0.9548172734703799,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6499362752056345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9426872961223746,0,0.0,0.9537885241505668,1,1.0,0.645887228872101,0,0.0,0.9400155865863628,0,0.0,0.9665334496739392,0,0.0,0.9674473513487684,1,1.0,0.6891791984626237,0,0.0,1.0,3,3.0
20.0,56,0,9,0,56,0,36.0,0.6428571428571429,9.695266986190598,2,8.0,0.6384096201223219,0,0.0,0.9756032873419681,0,0.0,1.0,0,0.0,1.0,2,8.0,0.4260691672386971,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9597602976712228,0,0.0,0.9492152291977609,3,11.0,0.6006859143252555,0,0.0,0.9727664220931675,0,0.0,0.9551110622604689,0,0.0,0.9709467783239937,2,9.0,0.4268747970699514,0,0.0,1.0,9,36.0
25.0,72,0,18,0,72,0,111.0,1.5416666666666667,9.250485431475234,4,26.0,0.5746085932492446,0,0.0,0.9722277573636869,0,0.0,0.9491474657821308,0,0.0,0.9462899206303708,5,27.0,0.3990919328890124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9893330065887196,0,0.0,0.9733210403386665,5,31.0,0.5933889590539718,0,0.0,0.9284284948336852,0,0.0,0.9497260688112946,0,0.0,0.966771965585002,4,27.0,0.35971587664967186,0,0.0,0.9067743386506751,18,111.0
30.0,80,0,24,0,80,0,222.0,2.775,8.57893482646332,6,54.0,0.4274411595194234,0,0.0,0.9446886647644983,0,0.0,0.93188458095086,0,0.0,0.9716052997095188,6,55.0,0.29184081350241736,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9652513941440372,0,0.0,0.9462282603739173,6,58.0,0.45299676498553776,0,0.0,0.9665889309949875,0,0.0,0.9491268312485293,0,0.0,0.9483280613748658,6,55.0,0.39200617239469615,0,0.0,0.9643273729463276,24,222.0
35.0,96,0,31,0,96,0,364.0,3.7916666666666665,8.259388776805134,8,89.0,0.4473151356208091,0,0.0,0.9676354416682766,0,0.0,0.9527531210804135,0,0.0,0.9753144146135267,8,92.0,0.2068487133359108,0,0.0,1.0,0,0.0,0.966044698803849,0,0.0,0.9462899206303708,0,0.0,0.9710409962443973,0,0.0,0.9591016847557021,7,93.0,0.42384786420778015,0,0.0,0.9717753615790375,0,0.0,0.9582876895727744,0,0.0,0.9503303224592258,8,90.0,0.39898594197880155,0,0.0,0.9350151260303332,31,364.0
40.0,112,0,39,0,112,0,542.0,4.839285714285714,8.230881381130676,10,135.0,0.4010315311829366,0,0.0,0.9802810957781947,0,0.0,0.904835161197556,0,0.0,0.9278880754390665,10,136.0,0.3190318812559897,0,0.0,0.9678979391070963,0,0.0,0.9693462655036343,0,0.0,0.9716052997095188,0,0.0,0.947749923863566,0,0.0,0.9760562291942916,9,136.0,0.37421251687364276,0,0.0,0.9487762560141499,0,0.0,0.9476219000361625,0,0.0,0.9454600370875741,10,135.0,0.383568592344982,0,0.0,0.9559495084756636,39,542.0
45.0,120,0,39,0,120,0,529.0,4.408333333333333,7.150315976991871,10,132.0,0.325768349965139,0,0.0,0.9300079340423671,0,0.0,0.6466959814267845,0,0.0,0.8767707500951605,10,133.0,0.30073912172854184,0,0.0,0.9641884288362611,0,0.0,0.5466442450740986,0,0.0,0.9400233288863777,0,0.0,0.9085166435895046,0,0.0,0.9460674180813822,10,134.0,0.31553105498426165,0,0.0,0.849691493171718,0,0.0,0.8312602162465811,0,0.0,0.7298908341014966,9,130.0,0.3514659601072544,0,0.0,0.9079174328037141,39,529.0
50.0,135,0,23,1,136,0,59.0,0.43703703703703706,6.263382278419153,2,92.0,0.41266927124454866,0,8.0,0.8096408938657444,2,7.0,0.4043514952818835,2,4.0,0.20654968610241964,1,108.0,0.38183752921892045,1,9.0,0.6185937696870341,1,4.0,0.4828830472285445,0,0.0,0.009136202987625313,1,2.0,0.5787273127181619,1,1.0,0.637344808105606,2,110.0,0.37043785263026113,2,11.0,0.5160192930790272,1,3.0,0.2289942596491477,1,4.0,0.40124431089230667,4,111.0,0.34786054796062676,2,13.0,0.4752744333720585,23,487.0
