step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.436734740820503,0,0.0,0.9379302381541429,0,0.0
10.0,0,0.0,0.0,12.498397944753487,0,0.0,0.9449061730159493,0,0.0
15.0,3,3.0,0.16666666666666666,7.398098426852188,3,3.0,0.4162828812022078,3,3.0
20.0,8,42.0,2.3333333333333335,7.145138577836535,8,42.0,0.39519991642646835,8,42.0
25.0,5,41.0,1.9523809523809523,5.809075240142043,5,57.0,0.37538215814666415,5,57.0
30.0,10,81.0,4.05,6.181924666283273,10,81.0,0.317094123148995,10,81.0
35.0,6,98.0,4.083333333333333,4.887757191162905,6,111.0,0.22996003902491496,6,111.0
40.0,8,135.0,5.1923076923076925,7.81840802241338,8,135.0,0.4810781023470224,8,135.0
45.0,3,62.0,2.066666666666667,8.715002302776323,3,111.0,0.5243427693154137,3,111.0
50.0,8,87.0,3.2222222222222223,7.0979865830346505,8,87.0,0.3916755577828811,8,87.0
55.0,9,102.0,3.5172413793103448,5.7288329094804995,9,118.0,0.2853921047960917,9,118.0
60.0,8,140.0,5.384615384615385,7.139284227544469,8,143.0,0.34872115959582184,8,143.0
65.0,8,134.0,4.620689655172414,6.4992492859164495,8,159.0,0.3256509056889853,8,159.0
70.0,12,184.0,7.36,6.351258648436657,12,187.0,0.2820205756777075,12,187.0
75.0,9,201.0,5.911764705882353,6.136659872737451,9,222.0,0.37981288181376993,9,222.0
80.0,8,234.0,7.8,7.798539241899259,8,242.0,0.49714271945584754,8,242.0
85.0,6,146.0,4.055555555555555,6.365468333960549,6,218.0,0.3596386460047131,6,218.0
90.0,14,194.0,6.0625,5.584547241392335,14,203.0,0.2651453376264736,14,203.0
95.0,15,104.0,3.0588235294117645,4.671542785586725,15,127.0,0.20679023761984403,15,127.0
100.0,20,195.0,5.909090909090909,4.495010903152752,20,204.0,0.18291722164258742,20,204.0
105.0,16,182.0,5.2,4.133781704798321,16,252.0,0.19263053396085675,16,252.0
110.0,11,159.0,4.297297297297297,6.347190219774416,11,245.0,0.3503676424855258,11,245.0
115.0,9,104.0,2.736842105263158,6.376230585641179,9,245.0,0.34169386437726407,9,245.0
120.0,15,166.0,4.611111111111111,5.157280195414668,15,261.0,0.21083670212764907,15,261.0
125.0,17,202.0,5.315789473684211,4.949091579161366,17,304.0,0.16653578977654218,17,304.0
